SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2018,PALO ALTO,CA,94301,10500000,5,5.5,PALO ALTO,6016,21031,1927,,1745,,Sold,,,https://www.redfin.com/CA/Palo-Alto/536-W-Crescent-Dr-94301/home/1055159,MLSListings,ML81714190,N,Y,37.4551332,-122.1451991
PAST SALE,2018,PALO ALTO,CA,94306,12300000,5,5,PALO ALTO,7413,44732,2015,,1659,,Sold,,,https://www.redfin.com/CA/Palo-Alto/4174-Oak-Hill-Ave-94306/home/637931,MLSListings,ML81696407,N,Y,37.3969837,-122.1359831
PAST SALE,2018,PALO ALTO,CA,94303,10680000,5,5.5,PALO ALTO,7743,19593,2001,,1379,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1535-Edgewood-Dr-94303/home/1076821,MLSListings,ML81701511,N,Y,37.4536459,-122.1355284
PAST SALE,2018,PALO ALTO,CA,94301,9900000,5,6.5,PALO ALTO,4834,11250,1934,,2048,,Sold,,,https://www.redfin.com/CA/Palo-Alto/650-Lowell-Ave-94301/home/1600687,MLSListings,ML81690827,N,Y,37.4407151,-122.1420939
PAST SALE,2018,PALO ALTO,CA,94301,4750000,4,3.5,PALO ALTO,3457,12243,1936,,1374,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1750-University-Ave-94301/home/1158441,MLSListings,ML81699298,N,Y,37.4566363,-122.1432694
PAST SALE,2018,PALO ALTO,CA,94301,7750000,5,6,PALO ALTO,6112,12790,2001,,1268,,Sold,,,https://www.redfin.com/CA/Palo-Alto/80-Crescent-Dr-94301/home/542445,MLSListings,ML81690848,N,Y,37.457344,-122.1440235
PAST SALE,2018,PALO ALTO,CA,94303,5588000,4,4,PALO ALTO,3179,9514,2008,,1758,,Sold,,,https://www.redfin.com/CA/Palo-Alto/866-Seale-Ave-94303/home/1411834,MLSListings,ML81691554,N,Y,37.443331,-122.1355062
PAST SALE,2018,PALO ALTO,CA,94303,4200000,5,4,PALO ALTO,3183,6014,2018,,1320,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2764-Randers-Ct-94303/home/594753,MLSListings,ML81689396,N,Y,37.4347816,-122.1271213
PAST SALE,2018,PALO ALTO,CA,94304,8749440,7,11,PALO ALTO,9478,27660,2013,,923,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3120-Alexis-Dr-94304/home/1397977,MLSListings,ML81691662,N,Y,37.3725396,-122.1725428
PAST SALE,2018,PALO ALTO,CA,94306,4500000,5,5.5,PALO ALTO,3166,7666,2018,,1421,,Sold,,,https://www.redfin.com/CA/Palo-Alto/359-Campesino-Ave-94306/home/1069581,MLSListings,ML81691722,N,Y,37.4248079,-122.1267664
